respondent,influencers
150,"'Don Norman','Edwin Hutchins','Richard Thaler','Ellen Langer'"
151,"'Kat Holmes','Dori Tunstall','Fatimah Richmond','Carin Taylor'"
152,"'Caroline Criado Perez','Kate Raworth','Jennifer Eberhardt','Elizabeth Stephens','Todd Rose'"
154,"'Donald Norman','Muriel Cooper','Allan Kay','Nathan Felde','Jakob Nielsen','Henry Lieberman','Susan Weinschenk','Joseph Weizenbaum','Richard Saul Wurman','Jeff Weiss'"
155,"'Kelly Moran','Tristan Harris','Mike Schur','Dennis Myers'"
156,"'Richard Buchanan','John Kolko','Don Norman','Kiest Dorst','Nigel Cross','Horst Rittel','Melvin Webber','John Creswell','Richard Rumelt','Thomas Wendt','Paul Dourish','John Searle','Luciano Floridi','Alan Cooper','Robert Reimann','David Cronin','Paul Harris','Gavin Ambrose','Uli Weinberg','Tim Brown','David Benyon','Andrea Resmini','Luca Rosati','William White','James Prochaska','Carlo Di Clemente'"
157,'Steve Portigal'
158,"'Claire Maiers','Joseph Lindley','Dhruv Sharma','Robert Potts','Allison J. Pugh'"
159,"'Steve Diller','Melissa Dawe Schmidt','Philip Tetlock','Dan Gardner'"
160,"'Don Norman','Edward Tufte','Jakob Nielsen'"
162,"'Thomas Bayes','Pierre-Simon Laplace'"
163,"'Nathan Shedroff','Shelley Evenson','Don Norman','Roberto Verganti','Janice Fraser','David Bland','Jeff Gothelf','Kirsten Bibbins-Domingo','Courtney Lyles','Stacey Chang','Tung Nyguen'"
164,"'Vicki Hanson','Astrid Weber','Nithya Sambasivan','Sarah Horton','Whitney Quesenbery'"
165,"'Donna Spencer','Caroline Criado-Perez','Mike Kuniavsky','Susan Weinschenk','Steve Portigal','Indi Young','Alan Cooper','Tomer Sharon','Brad Nunnally'"
168,"'Steve Portigal','Amy Bucher','Jen Cardello','Jeff Sauro','Susan Rice','Kyle Soucy'"
169,"'Cyd Harrell','Erika Hall','Tomer Sharon','Elizabeth Churchill'"
